Data;Maxima;
01/07/1963;56;1963
01/08/1963;54;1963
01/09/1963;44;1963
01/10/1963;39;1963
01/11/1963;134;1963
01/12/1963;262;1963
01/01/1964;408;1964
01/02/1964;354;1964
01/03/1964;470;1964
01/04/1964;422;1964
01/05/1964;314;1964
01/06/1964;125;1964
01/07/1964;93;1964
01/08/1964;73;1964
01/09/1964;60;1964
01/11/1964;144;1964
01/12/1964;140;1964
01/01/1965;200;1965
01/02/1965;219;1965
01/03/1965;339;1965
01/04/1965;466;1965
01/05/1965;350;1965
01/06/1965;100;1965
01/07/1965;80;1965
01/08/1965;67;1965
01/09/1965;60;1965
01/10/1965;100;1965
01/11/1965;185;1965
01/12/1965;158;1965
01/01/1966;206;1966
01/02/1966;364;1966
01/10/1966;145;1966
01/11/1966;196;1966
01/12/1966;279;1966
01/01/1967;232;1967
01/02/1967;275;1967
01/03/1967;386;1967
01/04/1967;540;1967
01/05/1967;493;1967
01/10/1967;60;1967
01/11/1967;155;1967
01/12/1967;200;1967
01/01/1968;220;1968
01/02/1968;277;1968
01/03/1968;460;1968
01/04/1968;200;1968
01/05/1968;120;1968
01/06/1968;48;1968
01/07/1968;70;1968
01/08/1968;58;1968
01/09/1968;50;1968
01/10/1968;100;1968
01/11/1968;240;1968
01/12/1968;190;1968
01/01/1969;265;1969
01/02/1969;75;1969
01/03/1969;384;1969
01/04/1969;220;1969
01/05/1969;180;1969
01/06/1969;152;1969
01/07/1969;84;1969
01/08/1969;72;1969
01/09/1969;62;1969
01/03/1981;577;1981
01/04/1981;578;1981
01/05/1981;378;1981
01/06/1981;308;1981
01/07/1981;282;1981
01/08/1981;269;1981
01/09/1981;256;1981
01/10/1981;333;1981
01/11/1981;394;1981
01/12/1981;378;1981
01/01/1982;472;1982
01/02/1982;423;1982
01/03/1982;484;1982
01/04/1982;374;1982
01/05/1982;304;1982
01/06/1982;266;1982
01/07/1982;251;1982
01/08/1982;249;1982
01/09/1982;244;1982
01/10/1982;336;1982
01/11/1982;325;1982
01/12/1982;323;1982
01/01/1983;428;1983
01/02/1983;592;1983
01/03/1983;493;1983
01/04/1983;426;1983
01/05/1983;268;1983
01/06/1983;252;1983
01/07/1983;238;1983
01/08/1983;236;1983
01/09/1983;228;1983
01/10/1983;284;1983
01/11/1983;321;1983
01/12/1983;394;1983
01/01/1984;376;1984
01/02/1984;400;1984
01/03/1984;432;1984
01/04/1984;572;1984
01/05/1984;399;1984
01/06/1984;274;1984
01/07/1984;260;1984
01/08/1984;233;1984
01/09/1984;308;1984
01/10/1984;322;1984
01/11/1984;311;1984
01/12/1984;380;1984
01/01/1985;548;1985
01/02/1985;596;1985
01/03/1985;653;1985
01/04/1985;759;1985
01/05/1985;668;1985
01/06/1985;407;1985
01/07/1985;326;1985
01/08/1985;310;1985
01/09/1985;300;1985
01/10/1985;318;1985
01/11/1985;418;1985
01/12/1985;546;1985
01/01/1986;520;1986
01/02/1986;518;1986
01/03/1986;600;1986
01/04/1986;600;1986
01/05/1986;520;1986
01/10/1986;357;1986
01/11/1986;370;1986
01/12/1986;374;1986
01/01/1987;400;1987
01/02/1987;380;1987
01/03/1987;535;1987
01/04/1987;508;1987
01/05/1987;400;1987
01/06/1987;263;1987
01/07/1987;238;1987
01/08/1987;235;1987
01/09/1987;306;1987
01/10/1987;324;1987
01/11/1987;357;1987
01/12/1987;395;1987
01/01/1988;372;1988
01/02/1988;379;1988
