Data;Maxima
01/06/1920;109
01/07/1920;105
01/08/1920;82
01/09/1920;120
01/10/1920;121
01/11/1920;146
01/12/1920;175
01/01/1921;247
01/02/1921;272
01/03/1921;212
01/04/1921;208
01/05/1921;125
01/06/1921;127
01/07/1921;104
01/08/1921;87
01/09/1921;122
01/10/1921;126
01/11/1921;83
01/12/1921;84
01/01/1922;213
01/02/1922;215
01/03/1922;238
01/04/1922;231
01/05/1922;192
01/06/1922;202
01/07/1922;148
01/08/1922;135
01/09/1922;101
01/10/1922;134
01/11/1922;110
01/12/1922;133
01/01/1923;204
01/02/1923;200
01/03/1923;238
01/04/1923;223
01/05/1923;156
01/06/1923;182
01/07/1923;146
01/08/1923;100
01/09/1923;156
01/10/1923;169
01/11/1923;184
01/12/1923;165
01/01/1924;188
01/02/1924;223
01/03/1924;233
01/04/1924;200
01/05/1924;137
01/06/1924;137
01/07/1924;100
01/08/1924;69
01/09/1924;63
01/10/1924;55
01/11/1924;92
01/12/1924;112
01/01/1925;139
01/02/1925;123
01/03/1925;133
01/04/1925;130
01/05/1925;79
01/06/1925;70
01/07/1925;71
01/08/1925;65
01/09/1925;59
01/10/1925;83
01/11/1925;159
01/12/1925;157
01/01/1926;274
01/02/1926;259
01/03/1926;236
01/04/1926;286
01/05/1926;212
01/06/1926;170
01/07/1926;147
01/08/1926;121
01/09/1926;110
01/10/1926;100
01/11/1926;125
01/12/1926;210
01/01/1927;250
01/02/1927;225
01/03/1927;238
01/04/1927;187
01/05/1927;141
01/06/1927;110
01/07/1927;84
01/08/1927;80
01/09/1927;189
01/10/1927;130
01/11/1927;127
01/12/1927;92
01/01/1928;102
01/02/1928;192
01/03/1928;200
01/04/1928;188
01/05/1928;128
01/06/1928;142
01/07/1928;130
01/08/1928;108
01/09/1928;78
01/10/1928;170
01/11/1928;74
01/12/1928;184
01/01/1929;274
01/02/1929;347
01/03/1929;352
01/04/1929;277
01/05/1929;176
01/06/1929;174
01/07/1929;114
01/08/1929;136
01/09/1929;153
01/10/1929;137
01/11/1929;150
01/12/1929;206
01/01/1930;194
01/02/1930;252
01/03/1930;218
01/04/1930;150
01/05/1930;126
01/06/1930;102
01/07/1930;82
01/08/1930;81
01/09/1930;74
01/10/1930;181
01/11/1930;150
01/12/1930;205
01/01/1931;252
01/02/1931;335
01/03/1931;338
01/04/1931;247
01/05/1931;211
01/06/1931;201
01/07/1931;137
01/08/1931;101
01/09/1931;120
01/10/1931;106
01/11/1931;137
01/12/1931;177
01/01/1932;220
01/02/1932;243
01/03/1932;226
01/04/1932;188
01/05/1932;141
01/06/1932;138
01/07/1932;132
01/08/1932;105
01/09/1932;80
01/10/1932;127
01/11/1932;165
01/12/1932;203
01/01/1933;236
01/02/1933;224
01/03/1933;203
01/04/1933;158
01/05/1933;126
01/06/1933;93
01/07/1933;84
01/08/1933;72
01/09/1933;67
01/10/1933;89
01/11/1933;77
01/12/1933;142
01/01/1934;179
01/02/1934;162
01/03/1934;157
01/04/1934;135
01/05/1934;120
01/06/1934;78
01/07/1934;59
01/08/1934;48
01/09/1934;62
01/10/1934;61
01/11/1934;49
01/12/1934;184
01/01/1935;207
01/02/1935;227
01/03/1935;234
01/04/1935;180
01/05/1935;162
01/06/1935;146
01/07/1935;99
01/08/1935;148
01/09/1935;168
01/10/1935;223
01/11/1935;201
01/12/1935;152
01/01/1936;214
01/02/1936;117
01/03/1936;202
01/04/1936;153
01/05/1936;148
01/06/1936;100
01/07/1936;68
01/08/1936;80
01/09/1936;100
01/10/1936;91
01/11/1936;84
01/12/1936;173
01/01/1937;281
01/02/1937;204
01/03/1937;182
01/04/1937;164
01/05/1937;128
01/06/1937;134
01/07/1937;90
01/08/1937;85
01/09/1937;76
01/10/1937;120
01/11/1937;229
01/12/1937;190
01/01/1938;199
01/02/1938;180
01/03/1938;164
01/04/1938;136
01/05/1938;191
01/06/1938;146
01/07/1938;135
01/08/1938;106
01/09/1938;78
01/10/1938;114
01/11/1938;112
01/12/1938;175
01/01/1939;215
01/02/1939;202
01/03/1939;167
01/04/1939;132
01/05/1939;161
01/06/1939;105
01/07/1939;97
01/08/1939;90
01/09/1939;69
01/10/1939;70
01/11/1939;186
01/12/1939;194
01/01/1940;216
01/02/1940;249
01/03/1940;248
01/04/1940;187
01/05/1940;146
01/06/1940;109
01/07/1940;78
01/08/1940;72
01/09/1940;51
01/10/1940;72
01/11/1940;126
01/12/1940;147
01/01/1941;190
01/02/1941;210
01/03/1941;149
01/04/1941;146
01/05/1941;90
01/06/1941;97
01/07/1941;105
01/08/1941;116
01/09/1941;115
01/10/1941;135
01/11/1941;166
01/12/1941;196
01/01/1942;176
01/02/1942;204
01/03/1942;242
01/04/1942;218
01/05/1942;171
01/06/1942;170
01/07/1942;144
01/08/1942;99
01/09/1942;110
01/10/1942;112
01/11/1942;105
01/12/1942;154
01/01/1943;237
01/02/1943;250
01/03/1943;232
01/04/1943;182
01/05/1943;124
01/06/1943;113
01/07/1943;88
01/08/1943;68
01/09/1943;82
01/10/1943;131
01/11/1943;141
01/12/1943;138
01/01/1944;150
01/02/1944;172
01/03/1944;204
01/04/1944;152
01/05/1944;110
01/06/1944;74
01/07/1944;60
01/08/1944;50
01/09/1944;42
01/10/1944;48
01/11/1944;106
01/12/1944;105
01/01/1945;133
01/02/1945;222
01/03/1945;214
01/04/1945;208
01/05/1945;148
01/06/1945;127
01/07/1945;141
01/08/1945;78
01/09/1945;57
01/10/1945;77
01/11/1945;109
01/12/1945;202
01/01/1946;252
01/02/1946;272
01/03/1946;288
01/04/1946;236
01/05/1946;167
01/06/1946;180
01/07/1946;204
01/08/1946;133
01/09/1946;77
01/10/1946;150
01/11/1946;105
01/12/1946;141
01/01/1947;212
01/02/1947;248
01/03/1947;293
01/04/1947;285
01/05/1947;164
01/06/1947;130
01/07/1947;114
01/08/1947;104
01/09/1947;168
01/10/1947;159
01/11/1947;128
01/12/1947;205
01/01/1948;214
01/02/1948;220
01/03/1948;216
01/04/1948;195
01/05/1948;116
01/06/1948;110
01/07/1948;80
01/08/1948;98
01/09/1948;69
01/10/1948;105
01/11/1948;123
01/01/1949;188
01/02/1949;204
01/03/1949;217
01/04/1949;142
01/05/1949;123
01/06/1949;108
01/07/1949;81
01/08/1949;60
01/09/1949;49
01/10/1949;65
01/11/1949;70
01/12/1949;144
01/01/1950;181
01/02/1950;237
01/03/1950;242
01/04/1950;212
01/05/1950;138
01/06/1950;93
01/07/1950;90
01/08/1950;63
01/09/1950;51
01/10/1950;120
01/11/1950;151
01/12/1950;176
01/01/1951;249
01/02/1951;263
01/03/1951;253
01/04/1951;233
01/05/1951;125
01/06/1951;102
01/07/1951;100
01/08/1951;66
01/09/1951;62
01/10/1951;91
01/11/1951;120
01/12/1951;133
01/01/1952;137
01/02/1952;190
01/03/1952;251
01/04/1952;210
01/05/1952;116
01/06/1952;112
01/07/1952;91
01/08/1952;60
01/09/1952;94
01/10/1952;111
01/11/1952;128
01/12/1952;92
01/01/1953;135
01/02/1953;113
01/03/1953;150
01/04/1953;152
01/05/1953;112
01/06/1953;112
01/07/1953;63
01/08/1953;64
01/09/1953;81
01/10/1953;127
01/11/1953;125
01/12/1953;140
01/01/1954;140
01/02/1954;190
01/03/1954;172
01/04/1954;112
01/05/1954;220
01/06/1954;169
01/07/1954;104
01/08/1954;70
01/09/1954;50
01/10/1954;68
01/11/1954;77
01/12/1954;90
01/01/1955;150
01/02/1955;150
01/03/1955;116
01/04/1955;120
01/05/1955;98
01/06/1955;176
01/07/1955;146
01/08/1955;119
01/09/1955;123
01/10/1955;55
01/11/1955;114
01/12/1955;137
01/01/1956;189
01/02/1956;124
01/03/1956;154
01/04/1956;150
01/05/1956;176
01/06/1956;226
01/07/1956;148
01/08/1956;198
01/09/1956;123
01/10/1956;91
01/11/1956;90
01/12/1956;147
01/01/1957;203
01/02/1957;210
01/03/1957;225
01/04/1957;204
01/05/1957;143
01/06/1957;114
01/07/1957;184
01/08/1957;191
01/09/1957;229
01/10/1957;200
01/11/1957;136
01/12/1957;175
01/01/1958;207
01/02/1958;222
01/03/1958;184
01/04/1958;166
01/05/1958;152
01/06/1958;162
01/07/1958;121
01/08/1958;103
01/09/1958;148
01/10/1958;133
01/11/1958;141
01/12/1958;160
01/01/1959;225
01/02/1959;240
01/03/1959;216
01/04/1959;214
01/05/1959;128
01/06/1959;106
01/07/1959;88
01/08/1959;80
01/09/1959;68
01/10/1959;87
01/11/1959;105
01/12/1959;127
01/01/1960;218
01/02/1960;221
01/03/1960;217
01/04/1960;172
01/05/1960;155
01/06/1960;150
01/07/1960;129
01/08/1960;119
01/09/1960;80
01/10/1960;145
01/11/1960;141
01/12/1960;180
01/01/1961;246
01/02/1961;251
01/03/1961;280
01/04/1961;257
01/05/1961;206
01/06/1961;152
01/07/1961;116
01/08/1961;89
01/09/1961;83
01/10/1961;93
01/11/1961;139
01/12/1961;130
01/01/1962;191
01/02/1962;221
01/03/1962;225
01/04/1962;210
01/05/1962;134
01/06/1962;125
01/07/1962;90
01/08/1962;73
01/09/1962;112
01/10/1962;159
01/11/1962;120
01/12/1962;224
01/01/1963;248
01/02/1963;214
01/03/1963;202
01/04/1963;185
01/05/1963;108
01/06/1963;98
01/07/1963;74
01/08/1963;68
01/09/1963;62
01/10/1963;111
01/11/1963;175
01/12/1963;105
01/01/1964;135
01/02/1964;242
01/03/1964;218
01/04/1964;146
01/05/1964;104
01/06/1964;100
01/07/1964;91
01/08/1964;99
01/09/1964;82
01/10/1964;89
01/11/1964;106
01/12/1964;185
01/01/1965;195
01/02/1965;243
01/03/1965;284
01/04/1965;246
01/05/1965;228
01/06/1965;170
01/07/1965;167
01/08/1965;124
01/09/1965;97
01/10/1965;186
01/11/1965;143
01/12/1965;247
01/01/1966;254
01/02/1966;297
01/03/1966;245
01/04/1966;195
